Title,Author,Genre,Link,Updates,Views,Subscribers,Rating,Age Rating,Status
Maybe Meant to Be,honeyskein,Romance,https://www.webtoons.com/en/romance/maybe-meant-to-be/list?title_no=4208,UPEVERY FRIDAY,159.8M,2.2M,9.75,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Suitor Armor,Purpah,Fantasy,https://www.webtoons.com/en/fantasy/suitor-armor/list?title_no=2159,UPEVERY FRIDAY,143M,1.6M,9.71,N/A,Suitor Armor will return!
Nevermore,Kate Flynn,Supernatural,https://www.webtoons.com/en/supernatural/nevermore/list?title_no=2740,UPEVERY FRIDAY,54.5M,818165,9.86,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Age of Arrogance,SOY MEDIA,Fantasy,https://www.webtoons.com/en/fantasy/the-age-of-arrogance/list?title_no=5839,UPEVERY FRIDAY,47.4M,1M,9.61,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Knight Only Lives Today,SOULPUNG,Fantasy,https://www.webtoons.com/en/fantasy/the-knight-only-lives-today/list?title_no=6672,UPEVERY FRIDAY,7.9M,243739,9.88,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Bailin and Li Yun,Jayessart,Romance,https://www.webtoons.com/en/romance/bailin-and-li-yun/list?title_no=5878,UPEVERY FRIDAY,25.8M,368671,9.59,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Ordeal,Brent Bristol,Action,https://www.webtoons.com/en/action/ordeal/list?title_no=2729,UPEVERY FRIDAY,42.7M,569730,9.84,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
The Lazy LordMasters the Sword,Dodomoon,Fantasy,https://www.webtoons.com/en/fantasy/the-lazy-lord-masters-the-sword/list?title_no=3349,UPEVERY FRIDAY,68M,725685,9.8,N/A,N/A
Our Secret Marriage,Chairunnisa,Romance,https://www.webtoons.com/en/romance/our-secret-marriage/list?title_no=7487,UPEVERY FRIDAY,1.3M,139188,9.38,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
A Child Who Looks Like Me,FLADA,Romance,https://www.webtoons.com/en/romance/a-child-who-looks-like-me/list?title_no=6649,UPEVERY FRIDAY,10.3M,473517,9.55,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Cinderelle,troyzworld,Romance,https://www.webtoons.com/en/romance/cinderelle/list?title_no=6922,UPEVERY FRIDAY,3.1M,179377,8.97,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
1HP Club,elfboi,Fantasy,https://www.webtoons.com/en/fantasy/1hp-club/list?title_no=2960,"UPEVERY TUE, FRI",70.3M,751886,9.67,N/A,N/A
I've Fallen for the Empire's Greatest Villainess,AJI,Romance,https://www.webtoons.com/en/romance/ive-fallen-for-the-empires-greatest-villainess/list?title_no=7409,UPEVERY FRIDAY,2.5M,167595,9.5,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Roots of the Heart,Mewmimiu,Romance,https://www.webtoons.com/en/romance/roots-of-the-heart/list?title_no=6134,UPEVERY FRIDAY,7.9M,209523,9.54,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
Cleric of Decay,bori,Fantasy,https://www.webtoons.com/en/fantasy/cleric-of-decay/list?title_no=5813,UPEVERY FRIDAY,12.8M,278293,9.51,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
My Giant Nerd Boyfriend,fishball,Slice of life,https://www.webtoons.com/en/slice-of-life/my-giant-nerd-boyfriend/list?title_no=958,"UPEVERY MON, WED, FRI",827.2M,2.4M,9.73,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
Stalker x Stalker,Merryweather,Comedy,https://www.webtoons.com/en/comedy/stalker-x-stalker/list?title_no=6080,"UPEVERY TUE, FRI",23.4M,311568,7.52,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
One Husband Is Enough,Go Sun Young,Romance,https://www.webtoons.com/en/romance/one-husband-is-enough/list?title_no=6677,UPEVERY FRIDAY,8.1M,267738,8.1,This series is rated Young Adult. Please review the Content Ratings page for more information.,N/A
The Academy'sSashimi Sword Master,GMAN,Fantasy,https://www.webtoons.com/en/fantasy/the-academys-sashimi-sword-master/list?title_no=7206,UPEVERY FRIDAY,2.4M,115970,9.25,This series is rated Mature. Please review the Content Ratings page for more information.,N/A
Villain with a Crush,seyoon,Romance,https://www.webtoons.com/en/romance/villain-with-a-crush/list?title_no=5048,UPEVERY FRIDAY,60.3M,1M,9.71,This series is rated Teen. Please review the Content Ratings page for more information.,N/A
